net,length_um
_0081_,1029.715
_0020_,1022.83
_0272_,965.645
_0277_,943.155
_0059_,927.64
net4,887.965
_0389_,859.64
_0363_,844.095
_0159_,842.28
_0160_,822.3
_0157_,815.075
_0189_,803.23
_0029_,800.42
_0599_,799.92
_0067_,799.26
_0175_,798.9
_0043_,795.73
_0080_,787.74
_0003_,786.975
_0139_,775.59
_0647_,773.9
net10,773.74
_0255_,762.88
_0016_,760.78
_0021_,759.33
_0352_,755.63
net16,737.16
_0290_,728.18
net6,715.41
_0135_,714.48
_0298_,713.895
_0373_,710.06
_0640_,676.08
net7,675.52
_0165_,667.83
net13,661.67
_0034_,641.08
_0119_,640.04
_0266_,635.42
net9,633.2
_0172_,630.68
_0372_,625.99
net12,625.52
net11,620.29
_0406_,619.74
_0288_,618.08
_0167_,612.2
_0173_,608.46
_0037_,605.245
_0060_,605.195
net8,597.97
net3,590.06
_0625_,585.53
_0225_,584.3
_0047_,583.89
_0054_,582.42
_0240_,573.45
_0030_,572.86
_0168_,567.82
_0564_,567.3
_0392_,565.38
_0042_,564.095
_0417_,563.06
_0019_,562.3
_0344_,560.63
_0083_,557.99
net18,556.78
_0375_,553.99
_0063_,551.08
net2,548.72
_0393_,546.34
_0449_,544.16
_0026_,538.065
_0056_,527.9
_0364_,523.81
_0018_,523.14
_0471_,510.6
_0077_,508.74
_0420_,507.78
_0323_,507.53
_0309_,506.15
_0293_,505.745
_0588_,505.33
_0113_,502.925
_0356_,498.74
_0567_,496.37
_0653_,496.3
_0079_,490.83
_0619_,490.73
_0539_,490.5
_0238_,489.28
_0000_,486.24
_0292_,485.16
_0009_,484.21
net40,483.74
net1,479.76
_0549_,479.42
_0230_,478.43
_0434_,478.04
_0055_,477.375
_0082_,475.87
_0201_,474.51
_0452_,473.73
_0390_,473.58
_0532_,472.39
_0146_,472.21
_0090_,471.16
_0155_,470.85
_0253_,468.47
_0414_,468.21
_0335_,467.6
_0276_,465.625
_0078_,464.78
_0374_,459.74
_0112_,458.94
_0626_,454.99
_0520_,454.165
_0246_,453.66
_0267_,453.42
_0580_,452.92
_0035_,450.44
_0096_,450.1
_0091_,448.41
_0147_,447.45
_0347_,446.64
_0563_,445.33
_0371_,445.24
_0149_,445.1
_0319_,444.55
_0606_,443.06
_0151_,442.17
net19,440.27
_0592_,439.76
_0068_,438.84
_0652_,438.55
_0185_,437.22
net29,436.68
_0578_,436.47
_0483_,436.32
_0337_,436.24
_0446_,436.12
_0300_,434.81
_0428_,433.07
_0551_,432.99
_0243_,430.63
_0633_,429.26
_0503_,428.04
_0568_,426.93
_0413_,426.17
_0522_,426.01
_0291_,425.06
_0359_,422.33
_0086_,421.7
net17,420.37
_0049_,418.56
_0127_,417.98
_0461_,417.25
_0507_,417.09
_0311_,416.02
_0634_,415.34
_0565_,415.32
_0131_,414.46
_0038_,413.26
_0439_,412.83
net33,412.78
_0331_,412
_0117_,410.56
_0295_,410.22
net24,410.06
_0198_,409.92
_0088_,409.72
_0482_,408.26
_0545_,407.7
_0219_,407.63
_0213_,407.21
_0574_,406.24
_0525_,405.1
_0140_,405.02
_0584_,403.51
_0271_,403.03
_0275_,402.55
net30,402.22
_0553_,401.93
_0179_,401.24
_0572_,401.04
_0556_,400.99
_0057_,400.84
_0421_,400.76
_0526_,400.46
_0023_,397.76
_0327_,396.78
_0015_,396.74
_0341_,396.35
_0345_,396.12
net55,395.83
_0624_,394.92
_0458_,394.29
_0033_,393.55
_0511_,391.26
net47,391.14
_0022_,390.7
_0316_,390.03
_0024_,389.52
_0562_,389.11
_0101_,388.91
_0070_,387.9
_0064_,387.08
_0247_,385.9
_0378_,385.76
_0382_,385
net42,384.6
_0475_,384.44
_0094_,383.66
_0315_,382.04
_0032_,381.74
_0512_,380.78
_0199_,378.26
_0462_,377.66
_0533_,376.62
_0365_,374.78
_0212_,374.37
_0014_,372.75
_0285_,372.73
_0409_,369.62
_0350_,368.57
net37,368.06
_0542_,367.82
_0610_,367.3
_0223_,366.86
_0190_,366.65
_0166_,366.48
_0561_,366.08
_0209_,364.9
_0636_,364.83
_0646_,364.455
_0036_,364
_0089_,362.74
_0084_,362.64
net15,362.49
net41,362.25
_0582_,360.7
_0612_,360.38
_0538_,360.27
net53,360.1
_0474_,359.8
_0187_,358.105
_0590_,357.6
_0008_,357.58
_0227_,357.2
_0608_,357.02
_0005_,356.86
_0589_,356.2
_0484_,355.99
_0477_,354.515
_0303_,353.65
_0627_,353.5
_0492_,352.92
_0386_,352.395
net22,351.78
net59,351.3
_0508_,351.11
_0644_,350.03
_0044_,349.36
_0366_,347.72
_0447_,345.68
_0613_,344.98
_0405_,343.72
_0631_,342.75
_0460_,340.14
_0104_,339.54
_0118_,339.38
_0304_,339.23
_0100_,339.22
_0416_,338.4
_0252_,338.31
_0306_,337.88
_0618_,337.52
_0002_,337.3
net61,336.78
_0161_,336.67
_0229_,336.6
_0203_,335.78
_0637_,335.72
_0256_,335.48
_0453_,333.8
_0041_,333.62
_0493_,332.14
_0239_,331.63
_0120_,331.28
_0607_,330.61
_0515_,329.73
_0301_,329.12
_0017_,327.92
_0463_,327.88
net38,327.7
_0158_,327.16
_0048_,327.06
_0581_,326.72
_0278_,326.2
_0353_,326.12
net57,326.01
_0092_,325.72
_0496_,325.06
_0642_,324.25
_0224_,324.18
_0514_,323.78
_0007_,323.6
_0518_,322.72
_0577_,322.64
_0215_,322.44
_0241_,322.26
_0385_,322.15
_0593_,320.52
_0586_,320.32
_0451_,319.92
_0600_,319.84
_0552_,318.02
_0194_,317.79
_0204_,317.52
_0569_,316.92
_0443_,316.86
_0312_,314.96
_0326_,314.13
_0457_,313.24
_0427_,313.08
_0236_,312.26
_0099_,311.1
_0046_,310.2
_0423_,310.12
_0128_,310.05
_0214_,310.01
_0324_,308.2
_0349_,306.18
_0621_,306.12
_0459_,305.55
_0125_,305.44
_0294_,305.04
_0321_,304.92
_0211_,304.26
_0339_,303.14
_0530_,302.52
_0649_,302.42
_0394_,302.04
_0544_,301.41
_0001_,300.74
_0501_,300.66
_0614_,300.42
_0369_,300.34
net27,299.52
_0013_,299.43
_0455_,298.79
_0138_,298.37
_0431_,298.12
_0336_,297.96
_0444_,297.04
net56,296.52
_0066_,296.32
_0412_,295.64
_0395_,293.76
_0367_,292.98
_0249_,291.46
_0557_,289.8
_0645_,289.72
_0180_,289.43
_0354_,288.82
_0436_,288.82
_0583_,286.45
_0576_,286.31
_0481_,285.92
_0162_,285.9
_0334_,284.16
_0264_,283.81
_0469_,283.7
_0346_,282.96
_0031_,282.48
_0004_,282.4
_0328_,282.15
_0524_,281.84
_0150_,281.43
_0217_,280.7
_0641_,280.26
_0632_,280.16
_0498_,280.04
_0635_,279.42
_0424_,279.33
net32,279.04
net48,278.17
_0163_,277.47
_0231_,277.26
_0178_,277.235
_0144_,276.86
_0595_,276.8
_0310_,276.03
_0110_,275.77
net54,275.5
_0487_,274.72
_0400_,273.42
_0351_,272.97
_0472_,272.8
_0505_,271.47
_0282_,270.46
_0441_,270.01
_0622_,269.68
_0528_,269.4
_0357_,269.24
_0192_,268.58
_0302_,267.9
_0536_,267.73
_0435_,267.54
