net,length_um
_0107_,263.96
_0358_,263.54
_0330_,262.36
_0235_,261.81
_0134_,261.14
_0478_,259.8
_0361_,257.8
_0052_,256.28
_0396_,254.81
_0638_,254.72
_0332_,254.46
_0202_,254.44
_0250_,254.44
_0061_,254.25
_0053_,253.58
_0262_,252.645
_0105_,252.42
_0519_,251.77
net58,251.48
_0596_,250.58
_0485_,250.38
_0490_,250.24
_0284_,250.14
_0575_,249.74
_0602_,249.6
_0191_,249.09
_0502_,248.91
_0027_,248.4
_0075_,247.96
_0232_,247.58
_0402_,247.485
_0261_,246.97
_0102_,245.98
_0141_,245.84
net39,245.66
_0504_,244.53
_0499_,244.46
net26,244.46
_0529_,243.32
_0308_,242.66
_0418_,242.3
_0313_,242.08
_0429_,241.74
_0408_,241.62
_0488_,241.22
_0228_,240.16
_0136_,239.49
_0152_,238.3
_0343_,238.18
_0195_,238.06
_0248_,237.78
_0401_,237.7
_0604_,235.31
_0437_,233.66
_0297_,233.44
_0540_,233.24
_0623_,233
_0517_,232.92
_0182_,232.18
net35,231.36
_0071_,229.66
_0598_,229.38
_0051_,228.82
_0362_,228.26
_0103_,228.04
_0430_,227.62
_0534_,227.06
_0397_,226.31
_0269_,225.64
_0500_,223.84
_0425_,223.4
_0258_,223.26
_0495_,222.96
_0329_,222.48
_0594_,222.46
_0509_,222.41
_0254_,222.02
_0615_,221.9
_0045_,221.38
_0076_,220.72
_0466_,220.38
_0126_,220.04
net43,219.255
_0617_,219
_0448_,218.62
_0340_,217.32
_0245_,216.38
_0193_,215.86
_0648_,215.71
net60,214.98
_0513_,214.84
_0283_,214.58
_0109_,214.54
_0415_,214.44
_0196_,214.38
_0287_,212.94
net5,212.18
_0130_,211.74
_0322_,211.56
_0132_,211.39
_0603_,211.38
_0639_,211.28
_0106_,211.1
_0257_,210.98
_0156_,209.88
_0368_,209.58
_0216_,209.28
net52,208.66
_0062_,208.5
_0087_,207.55
_0234_,207.22
_0360_,206.66
_0206_,206.18
_0181_,205.04
_0605_,204.93
_0289_,203.38
net20,201.92
_0531_,201.79
_0438_,201.68
_0419_,201.34
_0566_,200.54
_0521_,200.12
_0148_,199.28
net44,198.72
_0273_,198.52
_0571_,198.5
net49,197.46
_0197_,197.18
_0411_,196.4
net34,195.58
_0314_,193.92
_0537_,192.78
_0279_,191.84
_0527_,191.3
_0095_,189.18
_0177_,189.16
_0259_,189.16
net36,189.155
_0025_,188.59
_0523_,188.08
_0129_,187.92
_0317_,187.62
net62,187.5
_0286_,187.32
_0445_,186.32
_0226_,186.2
net28,186.08
_0497_,184.46
_0591_,184.1
_0265_,184.08
_0609_,182.3
_0491_,181.82
net51,181.64
_0548_,181.22
_0376_,179.78
_0440_,179.58
_0320_,179.55
_0579_,179.36
_0006_,178.14
_0142_,177.76
_0555_,177.4
_0124_,177.16
_0280_,176.735
_0218_,176.5
net63,176.4
_0479_,176.34
_0384_,176.22
_0494_,176.22
_0108_,175.88
_0601_,175.58
_0183_,174.76
_0176_,173.78
_0450_,171.4
_0465_,171.33
_0220_,169.08
_0473_,168.74
_0620_,168.26
_0058_,167.5
_0616_,165.9
_0184_,163.82
_0370_,163.76
_0611_,162.82
_0348_,161.4
net14,160.08
_0268_,159.72
_0186_,159.4
_0274_,158.82
_0570_,155.56
_0296_,155.44
_0510_,153.38
_0237_,153.18
_0398_,152.08
_0470_,150.9
_0342_,150.76
_0355_,150.74
_0137_,150.12
_0422_,149.04
_0270_,148.7
net21,148.65
_0426_,147.46
_0391_,147.04
_0535_,144.74
_0123_,144.59
_0464_,144.22
_0098_,142.54
_0643_,142.38
_0133_,141.56
_0221_,140.57
_0543_,140.5
_0547_,140.48
_0554_,139.78
_0546_,139.34
_0122_,138.8
_0174_,138.4
_0170_,137.36
_0410_,137.26
_0171_,135.42
_0407_,134.52
_0456_,132.76
_0432_,131.9
_0559_,129.6
_0558_,128.12
_0325_,126.54
_0169_,123.56
_0560_,122.74
_0587_,122.32
_0244_,120.22
_0468_,119.08
net23,119.04
_0404_,118.76
_0010_,113.88
_0097_,112.98
_0573_,111.4
_0628_,110
_0454_,109.66
_0307_,108.9
net25,104.34
_0651_,101.96
_0208_,101.64
_0516_,100.54
_0210_,99.46
_0281_,99.1
_0489_,98.7
_0011_,97.86
_0115_,97.64
_0650_,96
_0200_,94.42
_0093_,93.86
_0299_,93.72
_0114_,92.15
_0073_,91.64
_0233_,91.64
_0207_,91.6
_0085_,91.52
_0065_,87.66
_0121_,86.84
net45,86.4
_0143_,84.1
net31,82.3
_0480_,78.24
_0467_,77.16
_0629_,75.78
_0550_,74.78
_0153_,72.92
_0164_,71.74
_0486_,71.36
_0318_,70.8
_0338_,69.32
_0260_,68.6
_0188_,68.055
_0388_,67.78
_0039_,65.88
net46,64.92
_0111_,64.46
_0379_,64.32
_0222_,63.92
_0242_,63.34
_0383_,60.52
_0541_,56.36
_0433_,54.8
_0251_,54.14
_0333_,53.32
_0069_,51.06
_0381_,50.86
_0116_,50.82
_0476_,48.7
_0630_,47.94
_0442_,47.56
_0380_,47.46
_0387_,45.72
_0074_,45.26
_0597_,42.54
_0072_,33.82
_0012_,33.04
_0263_,30.94
_0205_,30.59
_0585_,28.06
_0506_,24.92
net50,23.84
_0154_,23.54
_0399_,20.86
_0305_,18.14
_0145_,15.92
_0050_,14.72
_0403_,13.04
_0040_,12.82
_0377_,12.5
_0028_,12.28
B[5],6.77
A[7],6.43
A[5],6.31
B[1],6.31
B[3],5.97
op[2],5.97
Y[10],5.75
Y[12],5.75
Y[14],5.75
Y[2],5.75
Y[6],5.75
Y[8],5.75
A[2],5.63
A[3],5.63
B[7],5.63
A[4],5.41
B[2],5.41
B[6],5.41
B[0],5.07
B[4],5.07
Y[11],5.07
A[6],4.95
op[1],4.95
Y[0],4.73
Y[4],4.73
op[0],4.73
A[0],4.61
Y[7],4.61
Y[13],4.39
Y[15],4.39
Y[1],4.39
Y[3],4.39
Y[5],4.39
Y[9],4.39
A[1],4.27
