net,length_um
_0315_,283.38
_0639_,282.75
_0613_,281.52
net5,281.46
_0540_,280.76
_0568_,280.24
_0051_,280.1
_0170_,279.06
_0033_,278.44
_0480_,278.44
_0408_,278.36
_0525_,275.76
_0570_,275.58
_0558_,275.24
_0412_,274.3
_0427_,274.3
_0398_,273.76
_0044_,273.07
_0312_,273.06
_0624_,273
_0591_,272.27
_0455_,270.66
net28,270.62
net39,270.52
_0528_,270.21
_0359_,268.76
net43,268.47
_0048_,267.9
_0388_,267.04
_0058_,267.02
_0404_,266.68
_0454_,265.46
net22,265.02
_0198_,264.81
net60,264.42
_0648_,263.94
_0209_,262.76
_0478_,262.48
_0435_,262.32
_0195_,261.39
_0314_,260.25
_0335_,259.94
_0261_,259.7
net15,258.94
_0593_,258.4
_0184_,257.9
_0633_,257.82
_0415_,256.88
_0490_,256.67
_0164_,256.58
_0409_,255.97
_0086_,255.84
_0405_,254.42
_0099_,254.16
_0155_,253.97
_0364_,253.32
_0501_,251.58
_0410_,251.44
_0652_,251.2
_0419_,250.36
_0646_,250.18
_0196_,249.36
_0006_,249.03
net54,248.92
net61,248.555
_0533_,248.34
net62,248.22
_0445_,248.2
_0521_,247.04
_0413_,245.82
_0083_,245.8
_0538_,245.74
_0424_,244.765
_0158_,244.49
_0049_,244.1
_0578_,243.88
_0200_,243.71
_0522_,242.04
_0429_,241.76
net40,241.76
net33,240.94
net31,240.58
_0211_,240.14
_0631_,239.18
_0508_,237.48
_0425_,235.895
_0141_,235.73
_0304_,234.86
_0287_,234.56
_0325_,234.16
_0600_,233.84
_0222_,233.74
_0565_,233.7
_0039_,233.49
_0636_,233.28
_0527_,232.9
_0393_,232.72
_0011_,232.58
_0334_,232.39
_0105_,232.06
_0366_,232.06
_0582_,231.85
_0133_,231.78
_0605_,231.635
_0036_,231.24
net47,231.2
_0596_,230.96
_0626_,230.3
_0557_,229.92
_0010_,229.82
_0130_,228.5
net59,227.8
_0526_,227.7
_0402_,227.175
_0583_,226.76
_0116_,225.98
_0350_,225.1
_0296_,223.9
_0534_,222.92
_0239_,222.295
_0524_,222.12
_0458_,221.64
_0643_,220.86
_0619_,220.48
_0556_,220.36
_0120_,219.17
_0257_,218.88
_0499_,218.17
_0589_,216.36
_0088_,215.56
_0247_,215.32
_0378_,214.48
_0461_,214.12
_0553_,213.44
_0244_,213.18
_0628_,212.76
_0446_,212.38
_0340_,211.68
_0223_,211.64
_0041_,211.12
_0597_,211.1
_0077_,210.84
_0176_,209.68
_0307_,209.26
_0329_,208.98
_0038_,208.54
net45,208.47
_0317_,208.44
_0251_,208.34
net46,208.21
_0002_,204.32
_0344_,204.1
_0108_,203.92
_0250_,201.76
_0504_,201.76
_0216_,201.7
_0436_,201.14
_0300_,200.07
_0368_,199.56
_0509_,199.39
_0496_,198.48
_0111_,198.14
_0305_,197.56
_0338_,197.56
_0422_,197.14
_0348_,196.68
_0629_,196.44
_0102_,195.32
_0365_,194.3
_0572_,194.28
_0035_,193.6
_0301_,193.48
_0441_,193.3
_0274_,192.68
_0620_,191.36
_0634_,189.9
_0104_,189.84
_0147_,189.32
_0440_,188.34
_0414_,186.64
_0581_,186.6
_0442_,186.22
_0053_,185.98
_0075_,184.92
_0023_,183.68
_0397_,181.88
_0573_,180.26
_0379_,179.52
_0207_,179.12
_0163_,176.67
_0518_,176.46
_0608_,176.26
_0494_,175.94
_0012_,175.86
_0486_,175.7
net58,175.48
net24,174.42
_0602_,173.78
_0587_,173.52
_0370_,173.5
_0481_,173.26
_0492_,172.24
_0500_,172.05
_0418_,171.34
_0464_,171.08
_0386_,171.02
_0400_,169.36
_0062_,169.22
_0074_,169.2
_0523_,168.54
_0128_,166.22
net57,165.6
_0122_,164.4
_0145_,163.78
net51,163.62
_0333_,160.92
net32,159.54
_0560_,159.06
_0462_,156.72
net29,155.46
_0212_,155.22
_0586_,154.2
_0297_,153.34
_0073_,151.8
_0516_,150.28
_0032_,150.16
_0093_,149.88
_0136_,148.58
_0197_,146.66
_0376_,146.4
_0107_,146.24
_0125_,145.56
_0249_,145.38
_0649_,145.3
_0546_,143.52
_0177_,142.68
_0342_,141.72
_0394_,140.38
_0322_,140.08
_0476_,138.98
_0470_,138.8
_0235_,138.52
net53,135.795
_0129_,135.48
net52,135.26
_0407_,134.86
_0607_,134.04
_0220_,131.94
_0630_,130.34
_0118_,129.88
_0208_,129.88
_0181_,129.46
_0433_,128.98
_0438_,127.56
_0330_,127.24
_0541_,127.02
_0579_,125.92
_0506_,124.5
_0585_,122.42
_0234_,121.88
_0260_,121.66
_0456_,121.12
_0152_,120.76
_0343_,120.1
_0645_,119.04
_0380_,118.58
_0098_,116.96
_0150_,116.4
_0156_,114.54
_0535_,112.68
_0326_,112.64
_0495_,112.3
_0411_,111.04
_0377_,110.66
_0484_,110.26
_0430_,108.58
_0153_,103.12
_0206_,102.92
_0479_,102.88
_0115_,100.32
