net,length_um
_0301_,398.02
_0575_,397.5
_0265_,396.83
_0017_,394.72
_0579_,393.28
_0512_,392.02
_0640_,391.86
_0313_,391.58
Y[5],391.47
_0323_,390.5
_0600_,390.24
_0376_,390.16
_0597_,388.49
_0552_,388.18
_0146_,387.94
_0366_,387.84
_0605_,387.74
_0487_,387.345
_0470_,387.14
_0539_,385.97
_0515_,385.84
_0447_,385.48
_0516_,384.98
_0571_,382.42
_0650_,379
_0528_,378.69
_0207_,378.64
_0438_,377.55
_0090_,376.7
_0135_,376.58
_0324_,376.41
_0507_,375
_0004_,373.56
_0439_,373.08
_0413_,372.64
_0346_,371.78
_0420_,370.78
_0580_,370.38
_0391_,369.74
_0203_,369.33
_0429_,367.36
_0213_,365.87
_0560_,365.84
_0607_,365.36
_0356_,365.1
_0291_,364.3
_0592_,364.26
_0364_,364.2
_0024_,364
_0068_,362.2
_0469_,360.84
sign,360.76
_0322_,358.82
_0543_,358.78
_0056_,358.39
_0498_,357.9
_0226_,357.68
_0100_,357.24
_0221_,357.18
_0215_,356.64
_0347_,355.91
_0273_,355.12
_0351_,354.68
Y[11],353.53
_0474_,353.34
_0565_,353.205
_0419_,352.79
_0354_,351.59
_0340_,351.42
_0404_,349.64
_0374_,349.1
_0255_,348.54
_0639_,348.54
_0456_,347.54
_0369_,347.48
_0343_,346.86
_0125_,345.435
_0278_,345.08
_0577_,344.98
_0156_,344.54
_0054_,344.44
_0103_,340.46
_0363_,338.67
_0357_,338
_0655_,335.88
_0134_,333.86
_0227_,333.56
_0520_,332.56
_0201_,332.44
_0289_,332.11
_0303_,331.78
_0427_,331.33
_0077_,330.28
_0441_,330.28
Y[9],329.85
_0058_,329.49
_0623_,329.16
_0398_,328.32
_0590_,326.94
_0614_,325.16
_0074_,324.54
_0514_,324.34
_0644_,323.7
_0576_,323.68
_0044_,322.44
_0307_,321.66
_0218_,321.44
_0171_,321.24
_0618_,321.22
_0015_,320.5
_0173_,320.38
_0200_,319.72
_0183_,318.92
_0271_,317.06
_0570_,315.72
_0452_,315.58
_0368_,315.42
_0521_,315.38
_0240_,315.28
_0407_,314.9
_0622_,314.58
_0617_,314.12
_0359_,312.7
_0587_,312.46
_0331_,312.1
_0327_,311.88
_0478_,310.98
_0633_,310.98
_0202_,310.9
_0339_,309.86
_0471_,309.02
_0385_,307.77
_0445_,307.7
_0353_,307.22
_0586_,306.76
_0314_,301.04
_0344_,300.94
_0428_,299.92
_0246_,299.84
_0612_,299.62
_0157_,299.39
_0601_,299.1
_0239_,296.66
_0279_,295.28
_0049_,295.16
_0461_,294.99
_0648_,294.54
_0118_,294.52
_0443_,292.7
_0634_,292.58
_0573_,290.86
_0611_,289.98
_0494_,289.54
_0129_,288.06
_0067_,286.2
_0089_,285.88
_0409_,285.3
_0260_,285.02
_0222_,283.5
_0088_,283.08
_0269_,282.06
_0127_,281.89
_0627_,281.7
_0098_,281.64
_0030_,281.1
_0205_,279.08
_0238_,278.72
_0659_,276.84
_0079_,276.72
_0372_,275.9
_0475_,275.82
_0288_,275.28
_0158_,274.7
_0276_,274.66
_0105_,274.56
_0390_,273.88
_0548_,273.84
_0355_,272.88
_0435_,272.28
_0459_,271.89
_0610_,270.995
_0297_,270.49
_0196_,270.24
_0495_,269.3
Y[10],269.15
_0454_,268.34
_0047_,265.22
_0147_,265
_0630_,264.12
_0254_,263.44
_0519_,263.26
_0534_,263.22
_0136_,262.62
_0591_,260.98
_0662_,260.84
_0013_,260.54
_0620_,260.48
_0197_,260.08
_0111_,260
_0510_,258.86
_0231_,255.96
_0095_,249.24
_0609_,247.18
_0046_,245.6
_0126_,244.92
_0483_,244.34
_0272_,244.28
_0410_,243.68
_0169_,242.18
_0039_,241.185
_0011_,240.62
_0281_,239.74
_0159_,238.98
_0193_,238.9
_0411_,238.21
_0574_,237.28
_0113_,236.34
_0014_,235.2
_0350_,235
_0214_,234.64
_0488_,233.92
_0423_,232.055
_0133_,230.54
_0453_,228.36
_0155_,226.52
_0028_,224.88
_0555_,224.72
_0052_,223.44
_0377_,222.06
_0149_,222
_0446_,220.06
_0225_,219.42
_0598_,219.02
_0002_,216.98
_0541_,215.26
_0389_,214.78
_0277_,214.72
_0645_,214.72
_0280_,214.26
_0430_,213.98
_0663_,211.26
_0401_,209.88
_0424_,205.56
_0481_,205.14
_0132_,201.86
_0523_,199.62
_0624_,198.16
_0274_,197.66
_0341_,197.12
_0497_,196.76
_0242_,196.4
_0018_,194.56
_0175_,193.62
_0400_,190.76
_0296_,190.34
_0150_,188.58
_0387_,187.08
_0422_,186.24
_0399_,186.02
_0029_,185.68
_0114_,183.42
_0045_,181.42
_0228_,179.83
_0628_,179
_0164_,178.08
_0244_,176.04
_0503_,171.58
_0631_,170.46
_0128_,169.64
_0053_,168.4
_0367_,164.98
_0141_,164.6
_0304_,162.46
_0055_,162.02
_0266_,161.74
_0117_,161.32
overflow,159.74
_0123_,159.2
_0319_,158.3
_0151_,158.06
_0334_,157.84
_0493_,157.8
_0321_,156.78
_0440_,156.76
_0572_,153.14
_0112_,152.96
_0526_,151.32
_0192_,150.92
_0148_,150.06
_0102_,149.56
_0041_,147.78
_0509_,145.76
_0152_,145.12
_0326_,144.84
_0003_,144.08
_0527_,142.74
_0378_,142.52
_0212_,140.24
_0433_,139.72
_0436_,138.32
_0606_,136.94
_0219_,134.66
_0365_,134.32
_0426_,132.28
_0275_,131.125
_0394_,127.38
_0477_,123.48
_0632_,123.1
zero,123.1
_0545_,122.76
_0299_,122.74
_0486_,119.16
_0540_,118.08
_0626_,116.34
_0122_,116.22
_0252_,114.06
_0345_,111.46
_0153_,106
_0186_,104.2
_0131_,103.16
_0342_,98.24
_0504_,94.8
_0562_,93.68
_0048_,92.92
_0211_,92.34
_0012_,91.79
_0529_,91.54
_0059_,90.82
_0318_,89.94
_0166_,85.34
_0550_,78.16
_0191_,77.98
_0517_,75.72
_0594_,74.06
_0182_,69.555
_0396_,67.72
_0264_,66
_0232_,63.24
_0460_,62.2
_0457_,57.24
_0397_,52.76
_0245_,50.8
_0537_,42.66
_0072_,40.3
_0040_,40.22
_0070_,39.92
_0116_,36.88
_0069_,35.34
_0467_,12.92
